								
Compare cell means regardless of rows and columns								
								
Number of families	1							
Number of comparisons per family	528							
Alpha	0/05							
								
Tukey's multiple comparisons test	Mean Diff/	95/00% CI of diff/	Significant?	Summary	Adjusted P Value			
								
  0:24h vs. 0:48h	1/333e-005	-115/6 to 115/6	No	ns	>0/9999			
  0:24h vs. 0:72h	2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  0:24h vs. 10:24h	-8/621	-124/2 to 107/0	No	ns	>0/9999			
  0:24h vs. 10:48h	-12/31	-127/9 to 103/3	No	ns	>0/9999			
  0:24h vs. 10:72h	-30/88	-146/5 to 84/71	No	ns	>0/9999			
  0:24h vs. 20:24h	-5/172	-120/8 to 110/4	No	ns	>0/9999			
  0:24h vs. 20:48h	-12/31	-127/9 to 103/3	No	ns	>0/9999			
  0:24h vs. 20:72h	-27/94	-143/5 to 87/65	No	ns	>0/9999			
  0:24h vs. 30:24h	-8/621	-124/2 to 107/0	No	ns	>0/9999			
  0:24h vs. 30:48h	-12/31	-127/9 to 103/3	No	ns	>0/9999			
  0:24h vs. 30:72h	-17/65	-133/2 to 97/95	No	ns	>0/9999			
  0:24h vs. 40:24h	-8/621	-124/2 to 107/0	No	ns	>0/9999			
  0:24h vs. 40:48h	-9/231	-124/8 to 106/4	No	ns	>0/9999			
  0:24h vs. 40:72h	-17/65	-133/2 to 97/95	No	ns	>0/9999			
  0:24h vs. 50:24h	-5/172	-120/8 to 110/4	No	ns	>0/9999			
  0:24h vs. 50:48h	-7/692	-123/3 to 107/9	No	ns	>0/9999			
  0:24h vs. 50:72h	-14/71	-130/3 to 100/9	No	ns	>0/9999			
  0:24h vs. 60:24h	-3/448	-119/0 to 112/1	No	ns	>0/9999			
  0:24h vs. 60:48h	-7/692	-123/3 to 107/9	No	ns	>0/9999			
  0:24h vs. 60:72h	-10/29	-125/9 to 105/3	No	ns	>0/9999			
  0:24h vs. 70:24h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  0:24h vs. 70:48h	-4/615	-120/2 to 111/0	No	ns	>0/9999			
  0:24h vs. 70:72h	-7/353	-122/9 to 108/2	No	ns	>0/9999			
  0:24h vs. 80:24h	1/724	-113/9 to 117/3	No	ns	>0/9999			
  0:24h vs. 80:48h	-6/154	-121/7 to 109/4	No	ns	>0/9999			
  0:24h vs. 80:72h	-7/353	-122/9 to 108/2	No	ns	>0/9999			
  0:24h vs. 90:24h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  0:24h vs. 90:48h	-4/615	-120/2 to 111/0	No	ns	>0/9999			
  0:24h vs. 90:72h	2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  0:24h vs. 100:24h	0/000	-115/6 to 115/6	No	ns	>0/9999			
  0:24h vs. 100:48h	-1/538	-117/1 to 114/1	No	ns	>0/9999			
  0:24h vs. 100:72h	2/000e-005	-115/6 to 115/6	No	ns	>0/9999			
  0:48h vs. 0:72h	6/667e-006	-115/6 to 115/6	No	ns	>0/9999			
  0:48h vs. 10:24h	-8/621	-124/2 to 107/0	No	ns	>0/9999			
  0:48h vs. 10:48h	-12/31	-127/9 to 103/3	No	ns	>0/9999			
  0:48h vs. 10:72h	-30/88	-146/5 to 84/71	No	ns	>0/9999			
  0:48h vs. 20:24h	-5/172	-120/8 to 110/4	No	ns	>0/9999			
  0:48h vs. 20:48h	-12/31	-127/9 to 103/3	No	ns	>0/9999			
  0:48h vs. 20:72h	-27/94	-143/5 to 87/65	No	ns	>0/9999			
  0:48h vs. 30:24h	-8/621	-124/2 to 107/0	No	ns	>0/9999			
  0:48h vs. 30:48h	-12/31	-127/9 to 103/3	No	ns	>0/9999			
